Author name	Unique Author ID	Paper ID	Coauthors	Year	Venue	Title
ajay k. gupta	agupta-10	1543	ajay k. gupta|kurt maly|irwin b. levinstein|ravi mukkamala|bjorn kvande|s. nanjangud|margrethe h. olson|roy whitney|rita chambers	1996	ifip world conference on it tools	pme privileg mangag enforc system secur distribut resourc share
ajay k. gupta	agupta-10	2598	ajay k. gupta|kurt maly|hussein m. abdel-wahab|ravi mukkamala|mohamed kholief|s. dittakavi|c. s. vemuru|h. syed	1997	webnet	coprocess java base environ collabor process manag web
ajay k. gupta	agupta-10	2613	ajay k. gupta|kurt maly|bjorn kvande|irwin b. levinstein|ravi mukkamala|s. nanjangud|margrethe h. olson|roy whitney|rita chambers	1996	wetice	privileg manag enforc system distribut resourc share
ajay k. gupta	agupta-10	2610	ajay k. gupta|hussein m. abdel-wahab|kurt maly|alaa youssef|emilia stoica|c. michael overstreet|j. christian wild	1996	wetice	softwar architectur interprocess commun iri internet base interact distanc learn system
ajay k. gupta	agupta-10	2872	ajay k. gupta|kurt maly|hussein m. abdel-wahab|ravi mukkamala|a. prabhu|h. syed|c. s. vemuru	1995	computer networks and isdn systems	mosaic xtv coreview
ajay k. gupta	agupta-10	3437	ajay k. gupta|kurt maly|hussein m. abdel-wahab|j. christian wild|c. michael overstreet|ayman adel abdel hamid|sahar m. ghanem|agustin gonzalez|xiaoqing zhu	2001	acm journal of educational resources in computing	iri h java base distanc educ system
ajay k. gupta	agupta-10	2911	ajay k. gupta|kurt maly|satish mynam	1998	ieee computer	btu host commun benchmark
ajay k. gupta	agupta-10	3235	ajay k. gupta|kurt maly|hussein m. abdel-wahab|c. michael overstreet|j. christian wild|alaa youssef|emilia stoica|ehab s. al-shaer	1997	ieee internet computing	interact distanc learn intranet
ajay k. gupta	agupta-10	837	ajay k. gupta|kurt maly|c. michael overstreet|hussein m. abdel-wahab|muthu kumar|rahul srivastava	1995	hpn	perform trade multimedia distribut applic
amit gupta	agupta-11	1523	amit gupta|rolf oppliger|mark moran|riccardo bettati	1996	idms	secur architectur tenet scheme
amit gupta	agupta-11	1023	amit gupta|riccardo bettati	1996	icdcs	dynam resourc alloc migrat multiparti real time commun
amit gupta	agupta-11	1999	amit gupta|riccardo bettati|domenico ferrari|w. heffner|wingwai howe|mark moran|quyen nguyen|rajendra yavatkar	1995	nossdav	connect establish multi parti real time commun
amit gupta	agupta-11	2000	amit gupta|domenico ferrari|giorgio ventre	1995	nossdav	distribut advanc reserv real time connect
amit gupta	agupta-11	1592	amit gupta|wingwai howe|mark moran|quyen nguyen	1995	infocom	resourc share multi parti real time commun
amit gupta	agupta-11	3568	amit gupta|domenico ferrari|giorgio ventre	1997	multimedia syst.	distribut advanc reserv real time connect
amit gupta	agupta-11	4049	amit gupta|domenico ferrari	1995	ieee/acm trans. netw.	resourc partit real time commun
amit gupta	agupta-11	1197	amit gupta|kurt rothermel	1996	icmcs	failur recoveri multi parti real time commun
arobinda gupta	agupta-12	2964	arobinda gupta|sukumar ghosh|sriram v. pemmaraju	1997	distributed computing	stabil algorithm maximum flow problem
arobinda gupta	agupta-12	867	arobinda gupta|animesh nandi	2003	international conference on internet computing	estim link characterist internet path fpathchar
arobinda gupta	agupta-12	1905	arobinda gupta|somnath banerjee|anupam basu	2003	mobile hci	onlin transcod web page mobil devic
arobinda gupta	agupta-12	291	arobinda gupta|umesh deshpande|anupam basu	2002	coopis/doa/odbase	adapt fault toler hospit resourc schedul
arobinda gupta	agupta-12	1905	arobinda gupta|somnath banerjee|anupam basu	2003	mobile hci	onlin transcod web page mobil devic
arobinda gupta	agupta-12	4116	arobinda gupta|umesh deshpande|anupam basu	2004	ieee trans. systems, man, and cybernetics, part b	coordin problem solv resourc share distribut environ
arobinda gupta	agupta-12	291	arobinda gupta|umesh deshpande|anupam basu	2002	coopis/doa/odbase	adapt fault toler hospit resourc schedul
arobinda gupta	agupta-12	2067	arobinda gupta|himadri sekhar paul|r. badrinath	2003	pdpta	heterogen checkpoint recoveri protocol cluster base distribut system
arobinda gupta	agupta-12	2928	arobinda gupta|himadri sekhar paul|r. badrinath	2003	concurrency and computation: practice and experience	perform comparison checkpoint recoveri protocol
arobinda gupta	agupta-12	2184	arobinda gupta|sukumar ghosh|sriram v. pemmaraju	1997	sac	fault network protocol
arobinda gupta	agupta-12	2095	arobinda gupta|sukumar ghosh|ted herman|sriram v. pemmaraju	1996	podc	fault stabil algorithm
